"アルバム名","曲名","URL","ディスク番号","曲番号","人気度","長さ","テンポ","拍子","キー","モード","アコースティック度","ダンス性","エネルギッシュさ","インスト度","ライブ感","音圧のデシベル値の平均","話し声度","ポジティブ度"
"幻想水滸伝II ORIGINAL GAME SOUNDTRACK Vol.1","第7章「ミューズへ」 ~静かなお部屋(議事場BGM)","https://open.spotify.com/track/2oswrZtJoQmZZnJ9xS0qFg","2","3","2","110493","92.492","4","10","1","0.239","0.81","0.339","0.909","0.137","-9.565","0.0586","0.805"
"幻想水滸伝II ORIGINAL GAME SOUNDTRACK Vol.1","第7章「ミューズへ」 ~ナルシーのテーマふたたび(ヴァンサン、シモーヌのテーマ)","https://open.spotify.com/track/0KvjTPx9hVS1gjdvRwwpjX","2","4","2","201707","153.117","3","6","1","0.554","0.451","0.351","0.878","0.274","-9.362","0.0314","0.38"
"幻想水滸伝II ORIGINAL GAME SOUNDTRACK Vol.1","第7章「ミューズへ」 ~月夜のテーマ(イベント「牢の中で」より)","https://open.spotify.com/track/6ZcnBtG8euX05xsHpcLS2o","2","5","4","272093","135.654","4","10","1","0.78","0.189","0.238","0.954","0.0934","-11.065","0.031","0.0732"
"幻想水滸伝II ORIGINAL GAME SOUNDTRACK Vol.1","第7章「ミューズへ」 ~偵察の任務(イベント「偵察」より)","https://open.spotify.com/track/6m3iPzNik0TuMjvIPdCg0K","2","6","2","169800","92.576","4","11","1","0.127","0.486","0.55","0.877","0.11","-14.214","0.0482","0.0358"
"幻想水滸伝II ORIGINAL GAME SOUNDTRACK Vol.1","第7章「ミューズへ」 ~同盟軍よ永遠に(イベント「丘上会議」より)","https://open.spotify.com/track/0Txw0okj375c0b2dDvPHz1","2","7","2","93333","198.342","4","7","0","0.141","0.501","0.881","0.932","0.551","-6.982","0.0481","0.755"
"幻想水滸伝II ORIGINAL GAME SOUNDTRACK Vol.1","第8章「サウスウィンドウへ」 ~耳を澄ませば(コロネBGM他)","https://open.spotify.com/track/2DInl5B5kXcGWBGduEWVni","2","8","2","181373","78.232","5","10","1","0.595","0.12","0.236","0.867","0.119","-7.662","0.0344","0.0786"
"幻想水滸伝II ORIGINAL GAME SOUNDTRACK Vol.1","第8章「サウスウィンドウへ」 ~ああ、麗しの踊り子(クスクスBGM)","https://open.spotify.com/track/17yGJ6JdtXZ11zR4MoRZKh","2","9","2","150867","117.308","4","6","1","0.249","0.87","0.597","0.795","0.143","-8.108","0.0581","0.847"
"幻想水滸伝II ORIGINAL GAME SOUNDTRACK Vol.1","第8章「サウスウィンドウへ」 ~ナハーラ・ヤン・クン(サウスウインドウBGM)","https://open.spotify.com/track/7noQDf9EqFhKzHYpEQKbEX","2","10","3","211733","126.299","4","9","1","0.0126","0.98","0.484","0.926","0.0798","-8.371","0.053","0.973"
"幻想水滸伝II ORIGINAL GAME SOUNDTRACK Vol.1","第8章「サウスウィンドウへ」 ~パッサカリア合唱付き(イベント「ノースウィンドウへ」より)","https://open.spotify.com/track/2Vi4iGPLnCfMrFfyf7W4tM","2","11","0","27667","112.37","3","0","0","0.557","0.168","0.227","0.649","0.25","-7.693","0.0445","0.142"
"幻想水滸伝II ORIGINAL GAME SOUNDTRACK Vol.1","第8章「サウスウィンドウへ」 ~フーガ「我があるじを讃えよ」(ノースウィンドウの城BGM)","https://open.spotify.com/track/2WUaHyN21G1tX9cEpVFEMc","2","12","3","165693","81.226","4","7","0","0.0681","0.128","0.461","0.0182","0.203","-7.801","0.0342","0.34"
"幻想水滸伝II ORIGINAL GAME SOUNDTRACK Vol.1","第9章「シュウ」 ~彼女のため息(ラダトBGM)","https://open.spotify.com/track/5yOf2WMgLmakpzzpmg7f7J","2","13","3","168067","74.275","4","7","0","0.9","0.218","0.267","0.942","0.16","-11.043","0.0341","0.086"
"幻想水滸伝II ORIGINAL GAME SOUNDTRACK Vol.1","第9章「シュウ」 ~Dandy Richmond(リッチモンドのテーマ)","https://open.spotify.com/track/3qaysmOwviasiBO8Bjyb27","2","14","2","153373","112.734","4","3","1","0.469","0.727","0.288","0.551","0.577","-11.088","0.0335","0.277"
"幻想水滸伝II ORIGINAL GAME SOUNDTRACK Vol.1","第9章「シュウ」 ~なごみBGM1(イベント「水門」より)","https://open.spotify.com/track/0HNJHU5JBZfSnAwuHTcthY","2","15","2","224800","139.835","4","5","1","0.923","0.309","0.189","0.924","0.108","-10.066","0.0346","0.176"
"幻想水滸伝II ORIGINAL GAME SOUNDTRACK Vol.1","第9章「シュウ」 ~作戦(状況説明BGM)","https://open.spotify.com/track/43VjI28gVy5jSZMTRyL7n1","2","16","2","176160","99.215","4","5","1","0.656","0.675","0.384","0.842","0.0407","-10.009","0.0257","0.417"
"幻想水滸伝II ORIGINAL GAME SOUNDTRACK Vol.1","第9章「シュウ」 ~なごみの時間(本拠地BGM1)","https://open.spotify.com/track/3mN3enfcPJwPA1SfqCTVAh","2","17","3","218333","94.796","3","2","1","0.893","0.615","0.368","0.91","0.119","-8.497","0.0295","0.52"
"幻想水滸伝II ORIGINAL GAME SOUNDTRACK Vol.1","第9章「シュウ」 ~昔話(イベント「ゲンカクじいさんの過去」より)","https://open.spotify.com/track/2MmaGw1ORjg98AosOryNBI","2","18","7","238200","63.66","3","11","0","0.771","0.109","0.163","0.933","0.109","-13.819","0.0384","0.0477"
"幻想水滸伝II ORIGINAL GAME SOUNDTRACK Vol.2","第10章「トゥーリヴァー」 ~さざ波に運ばれて(レイクウェストBGM)","https://open.spotify.com/track/6mmNRZ2wzFzTNfHtcgyIIg","1","1","3","166933","151.108","4","3","1","0.922","0.372","0.37","0.782","0.118","-16.141","0.0383","0.471"
"幻想水滸伝II ORIGINAL GAME SOUNDTRACK Vol.2","第10章「トゥーリヴァー」 ~毎日がカーニバル(トゥーリヴァーBGM)","https://open.spotify.com/track/4u1YicONHkmqAvlVby2K0x","1","2","2","103960","145.228","3","7","1","0.889","0.496","0.471","0.496","0.379","-9.973","0.0303","0.831"
"幻想水滸伝II ORIGINAL GAME SOUNDTRACK Vol.2","第10章「トゥーリヴァー」 ~ウィ・アー・ザ・ナンバー・ワン!(コボルトの村BGM)","https://open.spotify.com/track/5GaQ9VUwlO1XMDF9RCfHc8","1","3","2","95107","94.744","4","7","1","0.826","0.631","0.57","0.966","0.135","-7.129","0.029","0.894"
"幻想水滸伝II ORIGINAL GAME SOUNDTRACK Vol.2","第10章「トゥーリヴァー」 ~2つの川(ウィングホード居住区BGM)","https://open.spotify.com/track/20tSjRKGLbmeEw4yFF24dh","1","4","2","203560","121.813","3","7","0","0.855","0.654","0.282","0.887","0.137","-12.303","0.0327","0.579"
"幻想水滸伝II ORIGINAL GAME SOUNDTRACK Vol.2","第11章「本拠地」 ~賑わいの街(本拠地BGM2)","https://open.spotify.com/track/05U8a68fdXuxlQkCCm41YQ","1","5","5","166573","121.78","4","7","1","0.528","0.359","0.393","0.0192","0.194","-8.876","0.0353","0.565"
"幻想水滸伝II ORIGINAL GAME SOUNDTRACK Vol.2","第11章「本拠地」 ~ドレミのようせいのうた(ドレミダンスBGM)","https://open.spotify.com/track/3aowKm81YGl7O7r1P0NFoz","1","6","1","33467","142.146","4","7","1","0.765","0.904","0.605","0.0","0.0918","-9.774","0.298","0.924"
"幻想水滸伝II ORIGINAL GAME SOUNDTRACK Vol.2","第11章「本拠地」 ~ドレミのようせいのうた(バトルモード)","https://open.spotify.com/track/6FDgYvSuMdCcRCXuhkVbFr","1","7","0","14933","0.0","0","0","1","0.911","0.0","0.69","0.00703","0.107","-7.713","0.0","0.0"
"幻想水滸伝II ORIGINAL GAME SOUNDTRACK Vol.2","第11章「本拠地」 ~ある晴れた日に(展望台BGM)","https://open.spotify.com/track/46oGF5us7pSQqBUpx0Hc32","1","8","1","94627","189.488","4","9","1","0.259","0.69","0.392","0.274","0.127","-9.645","0.0774","0.969"
"幻想水滸伝II ORIGINAL GAME SOUNDTRACK Vol.2","第11章「本拠地」 ~海は広いな(ミニゲーム1「釣り」BGM 通常モード)","https://open.spotify.com/track/08DKd3H9gM8AqaGyk405q5","1","9","1","101267","180.53","4","0","1","0.00853","0.39","0.438","0.0105","0.452","-9.536","0.0366","0.915"
"幻想水滸伝II ORIGINAL GAME SOUNDTRACK Vol.2","第11章「本拠地」 ~一本勝負(ミニゲーム1「釣り」BGM バトルモード)","https://open.spotify.com/track/5Kjv1V6262ArlDbv82wUL7","1","10","1","56733","174.901","4","5","1","5.57e-06","0.35","0.663","0.924","0.389","-8.962","0.038","0.0408"
"幻想水滸伝II ORIGINAL GAME SOUNDTRACK Vol.2","第11章「本拠地」 ~ロック!ロック!クライミング(ミニゲーム2「崖登り」BGM)","https://open.spotify.com/track/1Gn4kHfK9z35kJGk1OIl5Q","1","11","1","110933","99.186","4","7","1","0.25","0.604","0.577","0.328","0.172","-7.715","0.0301","0.971"
"幻想水滸伝II ORIGINAL GAME SOUNDTRACK Vol.2","第11章「本拠地」 ~叩き放題(ミニゲーム3「もぐらたたき」BGM)","https://open.spotify.com/track/7IvaPBqwXjgW9HvRZmWuF6","1","12","1","96973","189.535","4","1","0","0.000311","0.505","0.82","0.925","0.182","-9.198","0.0669","0.971"
"幻想水滸伝II ORIGINAL GAME SOUNDTRACK Vol.2","第11章「本拠地」 ~カレンと踊ろう(ミニゲーム4「カレンと踊ろう」BGM)","https://open.spotify.com/track/5RQg5ITTQhEXe9yB8lpvU0","1","13","1","48093","120.06","4","2","1","0.0237","0.637","0.752","0.108","0.268","-8.003","0.0472","0.921"
"幻想水滸伝II ORIGINAL GAME SOUNDTRACK Vol.2","第11章「本拠地」 ~誘惑のテーマ~Asian Dub Mix~(ミニゲーム5「ちんちろりん」BGM他)","https://open.spotify.com/track/4jpPOWE7EPbtqSWMmzP2XA","1","14","1","171267","157.939","4","4","1","0.0912","0.312","0.396","0.671","0.399","-7.197","0.0306","0.217"
"幻想水滸伝II ORIGINAL GAME SOUNDTRACK Vol.2","第11章「本拠地」 ~幕明料理対決(料理対決テーマ曲)","https://open.spotify.com/track/4HvdEUN3rzLwDf32U5PkSQ","1","15","1","147000","116.755","4","10","1","0.877","0.542","0.447","0.841","0.134","-8.728","0.0317","0.332"
"幻想水滸伝II ORIGINAL GAME SOUNDTRACK Vol.2","第11章「本拠地」 ~料理選択(メニュー選択BGM)","https://open.spotify.com/track/7Fq1V9PFiZGae1GheObOa2","1","16","2","65907","144.431","4","5","1","0.261","0.76","0.604","0.945","0.159","-8.074","0.191","0.975"
"幻想水滸伝II ORIGINAL GAME SOUNDTRACK Vol.2","第11章「本拠地」 ~対決一分間(料理対決中BGM)","https://open.spotify.com/track/5NQwRpyI4Dzy9jpg60mGYz","1","17","1","65667","157.415","4","0","1","0.289","0.524","0.618","0.873","0.139","-6.919","0.0503","0.992"
"幻想水滸伝II ORIGINAL GAME SOUNDTRACK Vol.2","第11章「本拠地」 ~鉄人登場(ハイ・ヨー登場BGM)","https://open.spotify.com/track/6c1NbI4ogyKEeuKAd3YK4j","1","18","0","7400","0.0","0","0","1","0.851","0.0","0.151","0.0004","0.0","-9.193","0.0","0.0"
"幻想水滸伝II ORIGINAL GAME SOUNDTRACK Vol.2","第11章「本拠地」 ~勝利(勝ちジングル)","https://open.spotify.com/track/68iUR1u062LmOBnrCB8yfW","1","19","0","5800","0.0","0","0","1","0.0","0.0","0.0387","0.0","0.0","-10.291","0.0","0.0"
"幻想水滸伝II ORIGINAL GAME SOUNDTRACK Vol.2","第11章「本拠地」 ~敗北(負けジングル)","https://open.spotify.com/track/0cQRJzu2OXSi4DdJ7VcanG","1","20","0","5267","0.0","0","0","1","0.0","0.0","0.108","0.0","0.0","-14.658","0.0","0.0"
"幻想水滸伝II ORIGINAL GAME SOUNDTRACK Vol.2","第11章「本拠地」 ~Orizzonte(アンネリーバンド)","https://open.spotify.com/track/15Dsttj9F1gXrflweu1BmL","1","21","4","143267","147.783","4","7","1","0.927","0.581","0.232","0.000391","0.102","-9.824","0.029","0.348"
"幻想水滸伝II ORIGINAL GAME SOUNDTRACK Vol.2","第11章「本拠地」 ~Due Fiumi ~2つの川~(アンネリーバンド)","https://open.spotify.com/track/6Pr8M4odTi2GYMNJGOrcW9","1","22","3","233960","117.933","3","9","0","0.924","0.619","0.28","0.102","0.0779","-9.69","0.0314","0.486"
"幻想水滸伝II ORIGINAL GAME SOUNDTRACK Vol.2","第11章「本拠地」 ~La mia tristezza(アンネリーバンド)","https://open.spotify.com/track/7Jf46CRcorNrrIT6OqMAuh","1","23","3","181240","78.035","4","5","0","0.645","0.733","0.386","0.0439","0.138","-9.96","0.0382","0.274"
"幻想水滸伝II ORIGINAL GAME SOUNDTRACK Vol.2","第12章「グリンヒル」 ~囚われた街(グリンヒル解放前BGM)","https://open.spotify.com/track/2DOr0Xp8DrKoT09ZN1YKu5","1","24","5","151200","123.928","3","11","0","0.0201","0.537","0.391","6.14e-06","0.201","-10.428","0.0322","0.589"
"幻想水滸伝II ORIGINAL GAME SOUNDTRACK Vol.2","第12章「グリンヒル」 ~オバケの話(イベント「幽霊を追跡」より)","https://open.spotify.com/track/5glurRE2fqiXziHyEhOO5g","1","25","1","100627","126.455","3","8","0","0.978","0.35","0.051","0.07","0.297","-11.444","0.0499","0.248"
"幻想水滸伝II ORIGINAL GAME SOUNDTRACK Vol.2","第12章「グリンヒル」 ~追跡(イベント「幽霊を追跡」より)","https://open.spotify.com/track/16qhZqNU0s6VKyGKu2vUZV","1","26","1","150933","128.516","4","0","1","0.000205","0.531","0.585","0.83","0.394","-14.727","0.0393","0.087"
"幻想水滸伝II ORIGINAL GAME SOUNDTRACK Vol.2","第12章「グリンヒル」 ~母への祈り(イベント「グリンヒルの堕ちた日」より)","https://open.spotify.com/track/7L8kjMfdb4heoylc6akbmB","1","27","1","184573","149.028","4","10","0","0.973","0.46","0.19","0.955","0.108","-13.943","0.0306","0.19"
"幻想水滸伝II ORIGINAL GAME SOUNDTRACK Vol.2","第12章「グリンヒル」 ~なごみBGM3(イベント「テレーズ救出」より)","https://open.spotify.com/track/7Icv7pSJONuRXK2tXRW8cT","1","28","1","192067","172.736","3","10","1","0.912","0.155","0.119","0.754","0.119","-11.141","0.0418","0.158"
"幻想水滸伝II ORIGINAL GAME SOUNDTRACK Vol.2","第12章「グリンヒル」 ~自由ふたたび(グリンヒル解放後BGM)","https://open.spotify.com/track/0xY2rBchqTrUZ0AgSptzwC","1","29","2","201227","126.328","3","5","1","0.755","0.702","0.506","0.0253","0.125","-8.449","0.0361","0.795"
"幻想水滸伝II ORIGINAL GAME SOUNDTRACK Vol.2","第13章「マチルダ騎士団へ」 ~もっと遠くへ(ワールドマップBGM2)","https://open.spotify.com/track/2hzrGod9IwBulAVo96cHTn","1","30","3","144173","126.313","4","8","1","0.904","0.649","0.496","0.944","0.303","-10.236","0.0352","0.636"
"幻想水滸伝II ORIGINAL GAME SOUNDTRACK Vol.2","第13章「マチルダ騎士団へ」 ~若き勇者たち(イベント「騎士団登場」より)","https://open.spotify.com/track/0TadNHYPqoNjijBy4vzMB9","1","31","1","135133","169.18","4","1","1","0.888","0.484","0.535","0.877","0.0914","-9.137","0.0495","0.0706"
"幻想水滸伝II ORIGINAL GAME SOUNDTRACK Vol.2","第13章「マチルダ騎士団へ」 ~誇り高きサラバンド(マチルダ騎士団領BGM)","https://open.spotify.com/track/5ad2Ubo09l8zGDiGzLJxm8","1","32","2","137693","162.132","4","1","1","0.916","0.598","0.203","0.939","0.0762","-9.328","0.0402","0.941"
"幻想水滸伝II ORIGINAL GAME SOUNDTRACK Vol.2","第13章「マチルダ騎士団へ」 ~ゴルドーという男(ゴルドーBGM)","https://open.spotify.com/track/1lYXTgDbFrG2LV8Sxd8Cp3","1","33","1","117000","98.384","3","1","1","0.85","0.505","0.253","0.659","0.0834","-14.296","0.0952","0.106"
"幻想水滸伝II ORIGINAL GAME SOUNDTRACK Vol.2","第13章「マチルダ騎士団へ」 ~生け贄の祝祭(イベント「獣の紋章」より)","https://open.spotify.com/track/4k3lO6Ss6T2Kb01fmaFvf6","1","34","1","44307","82.349","4","4","1","0.736","0.0764","0.419","0.869","0.118","-14.214","0.0602","0.0376"
"幻想水滸伝II ORIGINAL GAME SOUNDTRACK Vol.2","第13章「マチルダ騎士団へ」 ~なごみBGM2(イベント「騎士の誇り」より)","https://open.spotify.com/track/1PiN9LmL7YaWfR6Xsg94DT","1","35","1","191227","172.772","4","9","1","0.925","0.0986","0.152","0.964","0.0945","-14.437","0.0373","0.0365"
"幻想水滸伝II ORIGINAL GAME SOUNDTRACK Vol.2","第13章「マチルダ騎士団へ」 ~儀式(イベント「アガレス暗殺」より)","https://open.spotify.com/track/143PXyGyQ0MmWR9tlWAn16","1","36","1","194133","146.293","4","5","1","0.849","0.179","0.0686","0.93","0.257","-11.395","0.0369","0.194"
"幻想水滸伝II ORIGINAL GAME SOUNDTRACK Vol.2","第13章「マチルダ騎士団へ」 ~不穏(イベント「アガレス暗殺」より)","https://open.spotify.com/track/0zmxCjKThFKWaDNcuadfdv","1","37","1","148867","95.073","4","2","0","0.613","0.265","0.391","0.917","0.2","-10.31","0.0302","0.0396"
"幻想水滸伝II ORIGINAL GAME SOUNDTRACK Vol.2","第14章「トラン共和国との同盟」 ~平和の賛歌(トラン共和国の城BGM)","https://open.spotify.com/track/0CNUenmwgQKD0wITkYnNGC","2","1","1","167600","72.216","4","9","1","0.335","0.147","0.274","0.918","0.216","-12.213","0.032","0.1"
"幻想水滸伝II ORIGINAL GAME SOUNDTRACK Vol.2","第14章「トラン共和国との同盟」 ~さらに栄えし美しき黄金の都(グレッグミンスターBGM)","https://open.spotify.com/track/6B7kbWK4BSwZOWaA8XCiqQ","2","2","4","135093","171.455","3","6","0","0.432","0.447","0.597","0.115","0.31","-9.041","0.0322","0.924"
"幻想水滸伝II ORIGINAL GAME SOUNDTRACK Vol.2","第14章「トラン共和国との同盟」 ~グレミオ特製シチュー(フリーイベント「グレミオ」より)","https://open.spotify.com/track/4Vb8QVNyosrVWWCzJ58U0F","2","3","1","247667","151.543","3","9","1","0.937","0.2","0.136","0.928","0.152","-15.556","0.0344","0.23"
"幻想水滸伝II ORIGINAL GAME SOUNDTRACK Vol.2","第14章「トラン共和国との同盟」 ~魔物たちとの対決ふたたび(戦闘BGM2)","https://open.spotify.com/track/7m5Y4Wtvn2q843n2H0yOdm","2","4","3","143133","148.6","1","7","0","0.627","0.545","0.821","0.907","0.316","-7.523","0.0466","0.623"
"幻想水滸伝II ORIGINAL GAME SOUNDTRACK Vol.2","第14章「トラン共和国との同盟」 ~遠い空(バナーBGM)","https://open.spotify.com/track/5mz8I1cG7jqRLbWOGIAjUZ","2","5","1","47440","68.524","4","7","1","0.929","0.256","0.0117","0.979","0.0677","-22.303","0.043","0.905"
"幻想水滸伝II ORIGINAL GAME SOUNDTRACK Vol.2","第14章「トラン共和国との同盟」 ~忍者隠れ里(ロッカクの里BGM)","https://open.spotify.com/track/3J5cQV4Od5LHc67C7UD0xg","2","6","3","259493","170.944","3","5","1","0.908","0.22","0.323","0.934","0.126","-13.617","0.031","0.0722"
"幻想水滸伝II ORIGINAL GAME SOUNDTRACK Vol.2","第15章「ルカの最期」 ~追いつめる(バトルBGM-ルカ戦)","https://open.spotify.com/track/3l6Dai8lXm0H69Se4YdmMr","2","7","5","240507","153.246","4","6","0","0.699","0.527","0.744","0.872","0.121","-9.58","0.0337","0.629"
"幻想水滸伝II ORIGINAL GAME SOUNDTRACK Vol.2","第15章「ルカの最期」 ~Mad Luka(一騎打ちBGM-ルカ戦)","https://open.spotify.com/track/56QyeFXOsn9rfgejCWa1I0","2","8","14","85333","172.6","4","3","1","0.799","0.212","0.528","0.968","0.568","-7.151","0.0379","0.421"
"幻想水滸伝II ORIGINAL GAME SOUNDTRACK Vol.2","第15章「ルカの最期」 ~邪悪なる者(イベント「ルカの最期」より)","https://open.spotify.com/track/3tAYVFmAUKorrCiisbUt4r","2","9","1","145133","87.937","3","4","1","0.174","0.148","0.214","0.916","0.177","-17.418","0.0368","0.0301"
"幻想水滸伝II ORIGINAL GAME SOUNDTRACK Vol.2","第16章「ティントの山賊」 ~枯れた大地(ティントBGM)","https://open.spotify.com/track/6JYXsfEnP1JrfNjGa20aYC","2","10","4","179867","123.833","4","9","0","0.293","0.626","0.519","0.0498","0.441","-9.671","0.0342","0.918"
"幻想水滸伝II ORIGINAL GAME SOUNDTRACK Vol.2","第16章「ティントの山賊」 ~ティントの街はずれ(クロムBGM)","https://open.spotify.com/track/6tj72KDMLWLkSbHqGTmx2b","2","11","2","101000","119.572","3","9","0","0.64","0.593","0.409","0.0012","0.375","-10.232","0.0374","0.865"
"幻想水滸伝II ORIGINAL GAME SOUNDTRACK Vol.2","第16章「ティントの山賊」 ~Gothic Neclord(バトルBGM-ネクロード戦)","https://open.spotify.com/track/14ShE1kbTbL8PcqdzOUujs","2","12","11","254733","139.046","4","9","1","6.77e-05","0.337","0.707","0.338","0.417","-7.381","0.0296","0.139"
"幻想水滸伝II ORIGINAL GAME SOUNDTRACK Vol.2","第17章「マチルダ騎士団攻略」 ~怒りの鉄拳(バトルBGM-ゴルドー戦)","https://open.spotify.com/track/1iXYb4BEaZaqivh7aFQsac","2","13","3","139760","118.877","3","1","1","0.824","0.606","0.895","0.97","0.155","-7.508","0.035","0.308"
"幻想水滸伝II ORIGINAL GAME SOUNDTRACK Vol.2","第17章「マチルダ騎士団攻略」 ~悲しみのレクイエム(悲しみのテーマ)","https://open.spotify.com/track/7wgtL4HYq3jUQNWF9Ols34","2","14","2","138067","87.131","4","8","1","0.707","0.0918","0.158","0.903","0.277","-11.569","0.0362","0.0394"
"幻想水滸伝II ORIGINAL GAME SOUNDTRACK Vol.2","第17章「マチルダ騎士団攻略」 ~翻る我らの旗(イベント「ロックアックス攻防戦」より)","https://open.spotify.com/track/3lbk48g39o2i9lxWalpvMf","2","15","0","19173","164.403","4","4","0","0.804","0.334","0.575","0.72","0.584","-20.332","0.141","0.0773"
"幻想水滸伝II ORIGINAL GAME SOUNDTRACK Vol.2","第18章「最期の戦い」 ~対決の時(一騎打ちBGM-ハーン戦他)","https://open.spotify.com/track/3nHOOmuM21iWNyBmi2PBTN","2","16","2","238867","148.713","1","3","0","0.228","0.51","0.524","0.653","0.0926","-12.569","0.0409","0.108"
"幻想水滸伝II ORIGINAL GAME SOUNDTRACK Vol.2","第18章「最期の戦い」 ~銀狼(バトルBGMーシルバーウルフ戦)","https://open.spotify.com/track/1nPOlEm1rh74YU6JHhyvZJ","2","17","2","248960","151.199","4","3","0","0.723","0.404","0.769","0.912","0.362","-8.696","0.0867","0.366"
"幻想水滸伝II ORIGINAL GAME SOUNDTRACK Vol.2","第18章「最期の戦い」 ~Chant~あなたと出会い生をうけ、あなたを失い死を知った~","https://open.spotify.com/track/2sGddVVYO6e5qeGvZHV6zn","2","18","14","85000","107.416","3","2","1","0.99","0.205","0.0805","0.809","0.121","-20.75","0.044","0.0716"
"幻想水滸伝II ORIGINAL GAME SOUNDTRACK Vol.2","エピローグ ~エンディング(マーチ~我らは常にいつならん(108人のその後)~Coda)","https://open.spotify.com/track/7joliv51yf0e5RnrclOklS","2","19","3","731600","79.306","4","7","1","0.828","0.125","0.267","0.906","0.0747","-10.828","0.0354","0.073"
"幻想水滸伝II ORIGINAL GAME SOUNDTRACK Vol.2","エピローグ ~La passione commuove la storia(~情熱は歴史を動かす~)","https://open.spotify.com/track/6Ys3MkCN4wUSLPRSUn6Uei","2","20","5","111640","89.67","4","7","1","0.889","0.207","0.372","0.0","0.194","-9.598","0.0323","0.453"
"幻想水滸伝II ORIGINAL GAME SOUNDTRACK Vol.2","エピローグ ~勝利(スタッフロールBGM)","https://open.spotify.com/track/1Wl1eL9DMuKoq4tn1H5zON","2","21","1","152027","71.827","4","7","1","0.75","0.24","0.471","0.777","0.531","-9.862","0.0358","0.398"
"幻想水滸伝III ORIGINAL SOUNDTRACK SELECTION","丘から吹く風","https://open.spotify.com/track/6sQHdsH7qdoZkvypUl1tUv","1","1","2","57333","128.872","3","5","1","0.226","0.284","0.512","0.624","0.281","-12.596","0.0537","0.038"
"幻想水滸伝III ORIGINAL SOUNDTRACK SELECTION","風と大地","https://open.spotify.com/track/3hQbccn1RMDMLPFqJqLvcS","1","2","3","203133","150.104","3","7","1","0.482","0.601","0.532","0.836","0.126","-10.869","0.0305","0.673"
"幻想水滸伝III ORIGINAL SOUNDTRACK SELECTION","旅立ち","https://open.spotify.com/track/1VoygbBfAgXt7cj89tE8IV","1","3","3","112707","129.109","4","5","1","0.299","0.491","0.547","0.843","0.148","-11.305","0.0298","0.734"
"幻想水滸伝III ORIGINAL SOUNDTRACK SELECTION","橋上の街","https://open.spotify.com/track/1LxEg0a3QVIAHrMfmAv8mD","1","4","2","133733","137.974","4","8","0","0.901","0.86","0.524","0.113","0.0763","-13.126","0.0875","0.678"
"幻想水滸伝III ORIGINAL SOUNDTRACK SELECTION","緊迫1","https://open.spotify.com/track/3QxoLFMvi7PUthxFV1dyJh","1","5","2","92733","73.167","4","8","1","0.544","0.169","0.313","0.955","0.171","-12.279","0.0405","0.0357"
"幻想水滸伝III ORIGINAL SOUNDTRACK SELECTION","騎士の誇り","https://open.spotify.com/track/4kzkVamIqfLJG34muPD4z0","1","6","2","129560","94.021","4","8","1","0.929","0.385","0.358","0.868","0.104","-10.478","0.0323","0.144"
"幻想水滸伝III ORIGINAL SOUNDTRACK SELECTION","木漏れ日の中で","https://open.spotify.com/track/4DC023hEWjHcDVgXxF4LhS","1","7","2","86040","149.888","4","7","1","0.729","0.307","0.246","0.904","0.13","-13.126","0.0374","0.2"
"幻想水滸伝III ORIGINAL SOUNDTRACK SELECTION","荒ぶる魂","https://open.spotify.com/track/7uEH3HY9X0RO0kV90pnhvP","1","8","3","136427","152.118","4","8","1","0.686","0.43","0.502","0.91","0.301","-9.877","0.0696","0.478"
"幻想水滸伝III ORIGINAL SOUNDTRACK SELECTION","成果発表!","https://open.spotify.com/track/6JprCHTPDBBLTUYRzNnG1S","1","9","2","63040","138.332","4","9","1","4.58e-05","0.448","0.776","0.849","0.432","-8.912","0.0337","0.551"
"幻想水滸伝III ORIGINAL SOUNDTRACK SELECTION","ビネ・デル・ゼクセ","https://open.spotify.com/track/54uKdn0gvbghnYiz38f8Ak","1","10","3","199293","183.955","3","4","1","0.0795","0.36","0.308","0.000291","0.261","-12.269","0.0359","0.32"
"幻想水滸伝III ORIGINAL SOUNDTRACK SELECTION","襲撃","https://open.spotify.com/track/55VcFVcZziF0QorqeO4dHB","1","11","2","56267","137.675","1","2","1","0.355","0.22","0.0427","0.912","0.633","-16.474","0.044","0.0389"
"幻想水滸伝III ORIGINAL SOUNDTRACK SELECTION","逃走","https://open.spotify.com/track/7sRrkKahRUzPO3woYzphHx","1","12","0","20933","143.927","1","9","1","0.682","0.372","0.224","0.968","0.426","-22.275","0.0349","0.542"
"幻想水滸伝III ORIGINAL SOUNDTRACK SELECTION","煌めく刃","https://open.spotify.com/track/0ki5tFQcjULi878j0ColPn","1","13","6","139400","135.958","3","8","0","0.361","0.338","0.8","0.906","0.663","-8.447","0.0571","0.355"
"幻想水滸伝III ORIGINAL SOUNDTRACK SELECTION","トッポ・ネイ・シャボンのテーマ","https://open.spotify.com/track/2soDVRrtUsH2JULj4F4nJQ","1","14","2","62400","192.409","3","0","1","0.941","0.841","0.534","0.972","0.126","-13.893","0.21","1.0"
"幻想水滸伝III ORIGINAL SOUNDTRACK SELECTION","ナルシーのテーマ ~またふたたび~","https://open.spotify.com/track/4eQ47sHRBqNIjx1CJ9zDyb","1","15","2","73600","145.355","3","5","1","0.83","0.667","0.256","0.135","0.279","-17.245","0.0763","0.363"
